number_customer_service_calls,number_customer_service_interactions,state,regional_economy,international_plan,total_intl_calls,voice_mail_plan,number_vmail_messages,account_length,last_renewal,discount,total_usage,number_service_outage,service_outage_reported,ad_spend,wifi_bundle,phone_bundle,churn
2,3,Mississippi,138.74,0.0,0.0,0.0,0.0,5.333333333333333,0.5333333333333332,0.1201,0.3555555555555555,0,0.0,7.3414,1.0,0.0,0
2,2,Vermont,40.617,0.0,1.0,1.0,2.0,3.0,0.8,0.1867,0.1,0,0.0,7.0964,1.0,0.0,0
2,2,Michigan,620.696,1.0,8.0,1.0,0.0,42.0,11.899999999999999,0.1809,4.8999999999999995,3,3.0,9.4712,0.0,0.0,1
2,2,Kentucky,260.304,1.0,1.0,0.0,2.0,39.0,2.6,0.0726,6.5,14,14.0,13.144,0.0,0.0,1
1,3,Texas,2355.96,0.0,0.0,1.0,1.0,9.0,0.75,0.1915,2.55,4,4.0,9.381499999999999,1.0,1.0,0
2,2,Iowa,231.108,0.0,1.0,0.0,1.0,19.0,3.4833333333333334,0.0926,6.966666666666667,18,18.0,13.5602,0.0,0.0,0
1,3,North Carolina,730.072,1.0,1.0,1.0,1.0,9.666666666666666,3.061111111111111,0.1561,4.35,12,12.0,10.927299999999999,1.0,1.0,0
4,5,Arkansas,165.221,0.0,0.0,0.0,3.0,29.6,4.933333333333334,0.1764,3.9466666666666668,6,6.0,10.8893,0.0,0.0,0
5,6,Kansas,210.67,0.0,0.0,1.0,2.0,34.16666666666667,9.111111111111112,0.0889,4.555555555555556,6,6.0,9.4543,0.0,0.0,0
1,2,Virginia,649.393,1.0,2.0,1.0,1.0,1.5,0.2,0.0554,0.07500000000000001,0,0.0,7.0701,0.0,0.0,0
3,4,Iowa,231.108,1.0,1.0,0.0,2.0,43.5,2.9,0.0685,5.8,10,10.0,12.524799999999999,0.0,0.0,0
2,4,New York,2053.18,1.0,4.0,0.0,1.0,28.5,0.95,0.0341,3.3249999999999997,7,7.0,10.1603,0.0,0.0,0
2,3,Maine,84.497,1.0,4.0,0.0,1.0,6.0,1.7000000000000002,0.1014,0.8,3,3.0,7.7878,0.0,0.0,0
4,6,Hawaii,98.219,0.0,1.0,1.0,4.0,22.0,3.3,0.1977,0.36666666666666664,0,0.0,7.3542000000000005,0.0,0.0,1
1,1,Wyoming,47.433,1.0,0.0,0.0,1.0,16.0,5.066666666666666,0.1708,3.7333333333333334,11,11.0,9.636,0.0,0.0,0
1,1,North Carolina,730.072,1.0,6.0,0.0,0.0,28.0,7.466666666666667,0.2369,1.8666666666666667,0,0.0,7.7402999999999995,0.0,0.0,0
1,2,Mississippi,138.74,0.0,0.0,1.0,1.0,28.5,0.95,0.2196,8.549999999999999,22,22.0,15.2294,0.0,0.0,0
3,5,Minnesota,446.5,0.0,1.0,0.0,2.0,13.2,3.52,0.0319,1.54,2,2.0,8.493,0.0,0.0,1
3,4,Missouri,389.931,1.0,1.0,1.0,3.0,20.25,0.675,0.1484,2.0250000000000004,4,4.0,9.0014,0.0,0.0,1
3,3,Washington,725.514,1.0,3.0,1.0,3.0,53.0,6.183333333333334,0.1956,21.2,47,47.0,26.9748,0.0,1.0,1
6,9,Ohio,822.67,1.0,1.0,1.0,5.0,8.666666666666666,0.5777777777777777,0.0222,1.011111111111111,3,3.0,7.9407,0.0,0.0,1
